시도별,경제활동별,항목,단위,1985 년,1986 년,1987 년,1988 년,1989 년,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,Unnamed: 43
전국,지역내총생산(시장가격),명목,,93917477.0,110030849.0,128313751.0,153876374.0,174196167.0,212364652.0,257519039.0,294001394.0,332820947.0,392078366.0,458677049.0,508659120.0,562458824.0,561096559.0,615513843.0,681416214.0,739939578.0,817272367.0,875832070.0,950287292.0,996422320.0,1052150614.0,1138280581.0,1208002452.0,1260812140.0,1387312268.0,1454384791.0,1509908856.0,1574868314.0,1640110498.0,1743141850.0,1834868129.0,1935809579.0,2007811627.0,2042981250.0,2062489906.0,2224179729.0,2327595674.0,2404190710.0,
전국,지역내총생산(시장가격),실질,,302305186.0,336396554.0,378422661.0,425139633.0,454930884.0,502174137.0,555713517.0,587292341.0,627569286.0,684390486.0,754021408.0,807951665.0,858589225.0,822643170.0,918327606.0,1001145776.0,1054522416.0,1127714770.0,1166910349.0,1222213977.0,1280590240.0,1349602329.0,1427963356.0,1465186371.0,1480808102.0,1581956002.0,1637691597.0,1677574227.0,1734211430.0,1790169111.0,1843297604.0,1901154107.0,1965889849.0,2026457077.0,2075340783.0,2062489906.0,2155993359.0,2214910682.0,2246567225.0,
전국,지역내총생산(시장가격),실질기여도,,,11.28,12.49,12.35,7.01,10.38,10.66,5.68,6.86,9.05,10.17,7.15,6.27,-4.19,11.63,9.02,5.33,6.94,3.48,4.74,4.78,5.39,5.81,2.61,1.07,6.83,3.52,2.44,3.38,3.23,2.97,3.14,3.41,3.08,2.41,-0.62,4.53,2.73,1.43,
전국,순생산물세,명목,,9523425.0,11308187.0,12823959.0,14257326.0,16219756.0,20593082.0,22944857.0,27231790.0,28013606.0,33397312.0,39122984.0,45697131.0,51614110.0,44589713.0,55933581.0,63898582.0,71692643.0,82032680.0,86154078.0,87826823.0,90544551.0,95754798.0,101958369.0,108833997.0,108184790.0,119728010.0,120865159.0,124103264.0,123831412.0,128455625.0,137165542.0,147793214.0,156537969.0,161353904.0,161495063.0,167840059.0,184103949.0,185278796.0,171403119.0,
전국,순생산물세,실질,,28519110.0,31742006.0,36336948.0,40662056.0,44192715.0,49982377.0,55470973.0,57372777.0,59413041.0,65427418.0,72351694.0,78061017.0,83681765.0,74960528.0,87259853.0,96030720.0,101260959.0,106955909.0,109668385.0,111065505.0,119281501.0,124779946.0,131029083.0,127370297.0,124310838.0,130659594.0,136117385.0,138828643.0,140372517.0,146521053.0,151886042.0,158577713.0,162745298.0,164699286.0,165879790.0,167840059.0,176313661.0,172226363.0,164557781.0,
전국,순생산물세,실질기여도,,,1.15,1.49,1.19,0.8,1.22,1.06,0.31,0.33,0.85,0.9,0.67,0.65,-0.96,1.3,0.91,0.51,0.54,0.25,0.13,0.68,0.42,0.46,-0.25,-0.22,0.44,0.36,0.17,0.09,0.34,0.29,0.35,0.21,0.1,0.06,0.09,0.41,-0.19,-0.35,
전국,총부가가치(기초가격),명목,,84394052.0,98722662.0,115489792.0,139619048.0,157976411.0,191771570.0,234574182.0,266769604.0,304807341.0,358681054.0,419554065.0,462961989.0,510844714.0,516506846.0,559580262.0,617517632.0,668246935.0,735239687.0,789677992.0,862460469.0,905877769.0,956395816.0,1036322212.0,1099168455.0,1152627350.0,1267584258.0,1333519632.0,1385805592.0,1451036902.0,1511654873.0,1605976308.0,1687074915.0,1779271610.0,1846457723.0,1881486187.0,1894649847.0,2040075780.0,2142316878.0,2232787591.0,
전국,총부가가치(기초가격),실질,,273707360.0,304566395.0,341924195.0,384303331.0,410575482.0,452067538.0,500109673.0,529631435.0,567739125.0,618585505.0,681285760.0,729544406.0,774595973.0,747046302.0,830857415.0,904929245.0,953068487.0,1020565516.0,1057106837.0,1111203160.0,1161311217.0,1224800007.0,1296893420.0,1337588727.0,1356443360.0,1451290595.0,1501526212.0,1538696305.0,1593764570.0,1643621616.0,1691431869.0,1742691370.0,1803217505.0,1861755890.0,1909424992.0,1894649847.0,1979679698.0,2042802507.0,2082390823.0,
전국,총부가가치(기초가격),실질기여도,,,10.13,11.01,11.16,6.2,9.16,9.6,5.38,6.53,8.2,9.27,6.48,5.62,-3.23,10.33,8.1,4.82,6.4,3.22,4.61,4.09,4.97,5.35,2.86,1.28,6.39,3.16,2.27,3.28,2.88,2.68,2.79,3.19,2.98,2.35,-0.71,4.12,2.92,1.78,
전국,"농업, 임업 및 어업",명목,,10783801.0,11216829.0,11642797.0,14732780.0,15249127.0,16831393.0,18434796.0,20259065.0,21287219.0,23172605.0,24977383.0,25679325.0,25227779.0,23926216.0,26723525.0,25818588.0,25687253.0,25029735.0,24081403.0,26383197.0,25008241.0,25118697.0,24872699.0,24690947.0,26792468.0,28252863.0,30598534.0,31403265.0,31495872.0,32087753.0,33167620.0,32220625.0,33618613.0,32254364.0,30985604.0,32724896.0,36929636.0,33763366.0,34629325.0,
