월(Monthly),구분,시군구,미분양현황
전국,계,58,550.0
서울,계,3,37.0
부산,계,6,46.0
대구,계,2,944.0
인천,계,1,862.0
광주,계,2,704.0
대전,계,3,500.0
울산,계,1,596.0
경기,계,14,886.0
강원,계,2,570.0
충북,계,1,798.0
충남,계,4,545.0
전북,계,1,81.0
전남,계,1,758.0
경북,계,3,552.0
경남,계,5,932.0
제주,계,739,
전국,계,31,512.0
서울,계,1,771.0
부산,계,3,797.0
대구,계,1,198.0
인천,계,329,
광주,계,564,
대전,계,1,71.0
울산,계,1,693.0
경기,계,7,260.0
강원,계,1,309.0
충북,계,956,
충남,계,2,826.0
전북,계,454,
전남,계,955,
경북,계,2,253.0
경남,계,4,771.0
제주,계,305,
전국,계,24,923.0
서울,계,52,
부산,계,1,936.0
대구,계,2,250.0
인천,계,17,
광주,계,868,
대전,계,965,
울산,계,3,456.0
경기,계,1,318.0
강원,계,1,552.0
충북,계,1,657.0
충남,계,2,270.0
전북,계,997,
전남,계,1,31.0
경북,계,3,54.0
경남,계,3,306.0
제주,계,194,
전국,계,38,261.0
서울,계,735,
부산,계,3,657.0
대구,계,4,159.0
인천,계,467,
광주,계,1,870.0
대전,계,1,69.0
울산,계,872,
경기,계,6,168.0
강원,계,2,785.0
충북,계,2,21.0
충남,계,3,675.0
전북,계,1,437.0
전남,계,1,562.0
경북,계,4,104.0
경남,계,3,247.0
제주,계,433,
전국,계,69,133.0
서울,계,612,
부산,계,6,895.0
대구,계,3,250.0
인천,계,1,770.0
광주,계,5,609.0
대전,계,2,192.0
울산,계,839,
경기,계,13,76.0
강원,계,3,628.0
충북,계,4,652.0
충남,계,9,715.0
전북,계,4,562.0
전남,계,2,133.0
경북,계,2,790.0
경남,계,6,954.0
제주,계,456,
