월(Monthly),구분,시군구,미분양현황
서울,계,2,511.0
서울,종로구,46,
서울,중구,242,
서울,용산구,12,
서울,성동구,73,
서울,광진구,18,
서울,동대문구,27,
서울,중랑구,0,
서울,성북구,213,
서울,강북구,4,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,221,
서울,서대문구,0,
서울,마포구,315,
서울,양천구,186,
서울,강서구,117,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,107,
서울,동작구,601,
서울,관악구,74,
서울,서초구,162,
서울,강남구,19,
서울,송파구,0,
서울,강동구,74,
부산,계,13,882.0
부산,중구,0,
부산,서구,2,162.0
부산,동구,145,
부산,영도구,149,
부산,부산진구,76,
부산,동래구,1,303.0
부산,남구,1,58.0
부산,북구,552,
부산,해운대구,41,
부산,사하구,1,355.0
부산,금정구,652,
부산,강서구,1,253.0
부산,연제구,1,666.0
부산,수영구,475,
부산,사상구,790,
부산,기장군,2,205.0
대구,계,21,560.0
대구,중구,364,
대구,동구,319,
대구,서구,3,376.0
대구,남구,411,
대구,북구,2,179.0
대구,수성구,5,241.0
대구,달서구,8,40.0
대구,달성군,1,630.0
인천,계,1,605.0
인천,중구,0,
인천,동구,586,
인천,남구,0,
인천,연수구,625,
인천,남동구,40,
인천,부평구,4,
인천,계양구,301,
인천,서구,49,
인천,강화군,0,
인천,옹진군,0,
광주,계,12,395.0
광주,동구,1,387.0
광주,서구,56,
광주,남구,1,353.0
광주,북구,1,145.0
광주,광산구,8,454.0
대전,계,3,715.0
대전,동구,917,
대전,중구,281,
대전,서구,45,
대전,유성구,1,264.0
대전,대덕구,1,208.0
울산,계,9,486.0
울산,중구,3,101.0
울산,남구,98,
울산,동구,3,484.0
울산,북구,1,718.0
울산,울주군,1,85.0
경기,계,21,415.0
경기,수원시,2,702.0
경기,성남시,12,
경기,의정부시,0,
경기,안양시,389,
경기,부천시,748,
경기,광명시,0,
경기,평택시,2,118.0
경기,동두천시,0,
경기,안산시,39,
경기,고양시,4,848.0
경기,과천시,0,
경기,구리시,27,
경기,남양주시,1,55.0
경기,오산시,289,
경기,시흥시,35,
경기,군포시,148,
경기,의왕시,0,
경기,하남시,157,
경기,용인시,4,221.0
경기,파주시,403,
경기,이천시,1,71.0
경기,안성시,1,32.0
경기,김포시,970,
경기,양주시,34,
경기,여주군,936,
경기,화성시,52,
경기,광주시,0,
경기,연천군,0,
경기,포천시,26,
경기,가평군,1,
경기,양평군,102,
강원,계,10,72.0
강원,춘천시,1,215.0
강원,원주시,4,58.0
강원,강릉시,1,871.0
강원,동해시,241,
강원,태백시,710,
강원,속초시,129,
강원,삼척시,413,
강원,홍천군,84,
강원,횡성군,261,
강원,영월군,0,
강원,평창군,480,
강원,정선군,0,
강원,철원군,295,
강원,화천군,53,
강원,양구군,0,
강원,인제군,0,
강원,고성군,132,
강원,양양군,130,
충북,계,6,291.0
충북,청주시,2,464.0
충북,충주시,437,
충북,제천시,772,
충북,청원군,1,125.0
충북,보은군,0,
충북,옥천군,100,
충북,영동군,37,
충북,증평군,21,
충북,진천군,939,
충북,괴산군,0,
충북,음성군,378,
충북,단양군,18,
충남,계,16,349.0
충남,천안시,7,208.0
충남,공주시,171,
충남,보령시,779,
충남,아산시,2,153.0
충남,서산시,385,
충남,논산시,379,
충남,계룡시,614,
충남,금산군,3,
충남,연기군,2,248.0
충남,부여군,0,
충남,서천군,0,
충남,청양군,0,
충남,홍성군,209,
충남,예산군,336,
충남,태안군,285,
충남,당진군,1,579.0
전북,계,4,579.0
전북,전주시,2,63.0
전북,군산시,2,53.0
전북,익산시,19,
전북,정읍시,31,
전북,남원시,70,
전북,김제시,13,
전북,완주군,0,
전북,진안군,97,
전북,무주군,0,
전북,장수군,0,
전북,임실군,0,
전북,순창군,0,
전북,고창군,233,
전북,부안군,0,
전남,계,6,69.0
전남,목포시,3,124.0
전남,여수시,161,
전남,순천시,437,
전남,나주시,532,
전남,광양시,936,
전남,담양군,0,
전남,곡성군,0,
전남,구례군,0,
전남,고흥군,8,
전남,보성군,0,
전남,화순군,0,
전남,장흥군,0,
전남,강진군,0,
전남,해남군,61,
전남,영암군,54,
전남,무안군,706,
전남,함평군,0,
전남,영광군,39,
전남,장성군,0,
전남,완도군,0,
전남,진도군,11,
전남,신안군,0,
경북,계,16,189.0
경북,포항시,6,94.0
경북,경주시,1,427.0
경북,김천시,253,
경북,안동시,183,
경북,구미시,3,838.0
경북,영주시,631,
경북,영천시,206,
경북,상주시,6,
경북,문경시,158,
경북,경산시,2,623.0
경북,군위군,0,
경북,의성군,0,
경북,청송군,0,
경북,영양군,0,
경북,영덕군,0,
경북,청도군,0,
경북,고령군,145,
경북,성주군,0,
경북,칠곡군,421,
경북,예천군,2,
경북,봉화군,0,
경북,울진군,202,
경북,울릉군,0,
경남,계,16,311.0
경남,창원시,0,
경남,마산시,1,33.0
경남,진주시,2,279.0
경남,진해시,3,286.0
경남,통영시,811,
경남,사천시,213,
경남,김해시,796,
경남,밀양시,2,758.0
경남,거제시,38,
경남,양산시,525,
경남,의령군,4,385.0
경남,함안군,40,
경남,창녕군,88,
경남,고성군,49,
경남,남해군,0,
경남,하동군,0,
경남,산청군,0,
경남,함양군,0,
경남,거창군,8,
경남,합천군,2,
제주,계,264,
제주,제주시,148,
제주,서귀포시,116,
서울,계,2,460.0
서울,종로구,46,
서울,중구,240,
서울,용산구,3,
서울,성동구,67,
서울,광진구,10,
서울,동대문구,27,
서울,중랑구,0,
서울,성북구,212,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,221,
서울,서대문구,0,
서울,마포구,315,
서울,양천구,186,
서울,강서구,117,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,88,
서울,동작구,601,
서울,관악구,74,
서울,서초구,162,
서울,강남구,19,
서울,송파구,0,
서울,강동구,72,
부산,계,13,763.0
부산,중구,0,
부산,서구,2,109.0
부산,동구,145,
부산,영도구,149,
부산,부산진구,73,
부산,동래구,1,294.0
부산,남구,1,63.0
부산,북구,544,
부산,해운대구,33,
부산,사하구,1,306.0
부산,금정구,668,
부산,강서구,1,234.0
부산,연제구,1,655.0
부산,수영구,513,
부산,사상구,775,
부산,기장군,2,202.0
대구,계,21,380.0
대구,중구,366,
대구,동구,310,
대구,서구,3,372.0
대구,남구,407,
대구,북구,2,178.0
대구,수성구,5,129.0
대구,달서구,7,992.0
대구,달성군,1,626.0
인천,계,2,320.0
인천,중구,101,
인천,동구,854,
인천,남구,0,
인천,연수구,621,
인천,남동구,40,
인천,부평구,4,
인천,계양구,651,
인천,서구,49,
인천,강화군,0,
인천,옹진군,0,
광주,계,12,669.0
광주,동구,1,374.0
광주,서구,46,
광주,남구,1,337.0
광주,북구,1,673.0
광주,광산구,8,239.0
대전,계,3,676.0
대전,동구,913,
대전,중구,254,
대전,서구,42,
대전,유성구,1,266.0
대전,대덕구,1,201.0
울산,계,9,668.0
울산,중구,3,95.0
울산,남구,98,
울산,동구,3,475.0
울산,북구,1,713.0
울산,울주군,1,287.0
경기,계,20,405.0
경기,수원시,2,630.0
경기,성남시,10,
경기,의정부시,0,
경기,안양시,365,
경기,부천시,743,
경기,광명시,0,
경기,평택시,2,171.0
경기,동두천시,0,
경기,안산시,35,
경기,고양시,4,11.0
경기,과천시,0,
경기,구리시,23,
경기,남양주시,1,43.0
경기,오산시,289,
경기,시흥시,71,
경기,군포시,148,
경기,의왕시,0,
경기,하남시,157,
경기,용인시,4,157.0
경기,파주시,411,
경기,이천시,1,68.0
경기,안성시,1,31.0
경기,김포시,892,
경기,양주시,34,
경기,여주군,940,
경기,화성시,51,
경기,광주시,0,
경기,연천군,0,
경기,포천시,25,
경기,가평군,1,
경기,양평군,99,
강원,계,9,940.0
강원,춘천시,1,121.0
강원,원주시,4,86.0
강원,강릉시,1,838.0
강원,동해시,241,
강원,태백시,705,
강원,속초시,129,
강원,삼척시,399,
강원,홍천군,78,
강원,횡성군,254,
강원,영월군,0,
강원,평창군,479,
강원,정선군,0,
강원,철원군,295,
강원,화천군,53,
강원,양구군,0,
강원,인제군,0,
강원,고성군,132,
강원,양양군,130,
충북,계,6,385.0
충북,청주시,2,569.0
충북,충주시,437,
충북,제천시,772,
충북,청원군,1,121.0
충북,보은군,0,
충북,옥천군,100,
충북,영동군,35,
충북,증평군,21,
충북,진천군,934,
충북,괴산군,0,
충북,음성군,378,
충북,단양군,18,
충남,계,16,926.0
충남,천안시,7,735.0
충남,공주시,208,
충남,보령시,751,
충남,아산시,2,166.0
충남,서산시,384,
충남,논산시,378,
충남,계룡시,534,
충남,금산군,3,
충남,연기군,2,248.0
충남,부여군,0,
충남,서천군,116,
충남,청양군,0,
충남,홍성군,209,
충남,예산군,335,
충남,태안군,285,
충남,당진군,1,574.0
전북,계,4,392.0
전북,전주시,2,54.0
전북,군산시,1,858.0
전북,익산시,16,
전북,정읍시,31,
전북,남원시,70,
전북,김제시,13,
전북,완주군,21,
전북,진안군,96,
전북,무주군,0,
전북,장수군,0,
전북,임실군,0,
전북,순창군,0,
전북,고창군,233,
전북,부안군,0,
전남,계,6,221.0
전남,목포시,3,124.0
전남,여수시,146,
전남,순천시,463,
전남,나주시,529,
전남,광양시,914,
전남,담양군,0,
전남,곡성군,0,
전남,구례군,0,
전남,고흥군,8,
전남,보성군,0,
전남,화순군,0,
전남,장흥군,0,
전남,강진군,0,
전남,해남군,24,
전남,영암군,54,
전남,무안군,904,
전남,함평군,9,
전남,영광군,39,
전남,장성군,0,
전남,완도군,0,
전남,진도군,7,
전남,신안군,0,
경북,계,15,468.0
경북,포항시,5,601.0
경북,경주시,1,481.0
경북,김천시,253,
경북,안동시,178,
경북,구미시,3,773.0
경북,영주시,562,
경북,영천시,206,
경북,상주시,4,
경북,문경시,158,
경북,경산시,2,619.0
경북,군위군,0,
경북,의성군,0,
경북,청송군,0,
경북,영양군,0,
경북,영덕군,0,
경북,청도군,0,
경북,고령군,145,
경북,성주군,0,
경북,칠곡군,416,
경북,예천군,2,
경북,봉화군,0,
경북,울진군,70,
경북,울릉군,0,
경남,계,16,43.0
경남,창원시,0,
경남,마산시,1,33.0
경남,진주시,2,276.0
경남,진해시,3,31.0
경남,통영시,801,
경남,사천시,208,
경남,김해시,776,
경남,밀양시,2,619.0
경남,거제시,38,
경남,양산시,525,
경남,의령군,4,412.0
경남,함안군,40,
경남,창녕군,88,
경남,고성군,49,
경남,남해군,0,
경남,하동군,0,
경남,산청군,0,
경남,함양군,138,
경남,거창군,7,
경남,합천군,2,
제주,계,256,
제주,제주시,144,
제주,서귀포시,112,
서울,계,2,459.0
서울,종로구,46,
서울,중구,231,
서울,용산구,19,
서울,성동구,67,
서울,광진구,10,
서울,동대문구,27,
서울,중랑구,0,
서울,성북구,211,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,221,
서울,서대문구,0,
서울,마포구,315,
서울,양천구,195,
서울,강서구,117,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,95,
서울,동작구,601,
서울,관악구,66,
서울,서초구,157,
서울,강남구,19,
서울,송파구,0,
서울,강동구,62,
부산,계,13,828.0
부산,중구,0,
부산,서구,2,67.0
부산,동구,145,
부산,영도구,149,
부산,부산진구,68,
부산,동래구,1,288.0
부산,남구,1,32.0
부산,북구,528,
부산,해운대구,32,
부산,사하구,1,331.0
부산,금정구,665,
부산,강서구,1,405.0
부산,연제구,1,640.0
부산,수영구,521,
부산,사상구,764,
부산,기장군,2,193.0
대구,계,20,402.0
대구,중구,438,
대구,동구,313,
대구,서구,2,108.0
대구,남구,406,
대구,북구,2,178.0
대구,수성구,5,475.0
대구,달서구,7,886.0
대구,달성군,1,598.0
인천,계,2,101.0
인천,중구,101,
인천,동구,649,
인천,남구,0,
인천,연수구,615,
인천,남동구,40,
인천,부평구,4,
인천,계양구,643,
인천,서구,49,
인천,강화군,0,
인천,옹진군,0,
광주,계,12,821.0
광주,동구,2,64.0
광주,서구,37,
광주,남구,1,293.0
광주,북구,1,769.0
광주,광산구,7,658.0
대전,계,3,360.0
대전,동구,916,
대전,중구,234,
대전,서구,40,
대전,유성구,962,
대전,대덕구,1,208.0
울산,계,9,577.0
울산,중구,3,92.0
울산,남구,92,
울산,동구,3,455.0
울산,북구,1,692.0
울산,울주군,1,246.0
경기,계,24,40.0
경기,수원시,2,524.0
경기,성남시,80,
경기,의정부시,0,
경기,안양시,372,
경기,부천시,1,710.0
경기,광명시,0,
경기,평택시,1,849.0
경기,동두천시,0,
경기,안산시,35,
경기,고양시,4,406.0
경기,과천시,0,
경기,구리시,26,
경기,남양주시,1,378.0
경기,오산시,289,
경기,시흥시,118,
경기,군포시,146,
경기,의왕시,0,
경기,하남시,377,
경기,용인시,5,168.0
경기,파주시,683,
경기,이천시,1,74.0
경기,안성시,1,348.0
경기,김포시,867,
경기,양주시,34,
경기,여주군,1,130.0
경기,화성시,40,
경기,광주시,0,
경기,연천군,0,
경기,포천시,63,
경기,가평군,31,
경기,양평군,292,
강원,계,9,780.0
강원,춘천시,1,105.0
강원,원주시,4,70.0
강원,강릉시,1,795.0
강원,동해시,209,
강원,태백시,702,
강원,속초시,127,
강원,삼척시,387,
강원,홍천군,45,
강원,횡성군,252,
강원,영월군,0,
강원,평창군,479,
강원,정선군,0,
강원,철원군,295,
강원,화천군,52,
강원,양구군,0,
강원,인제군,0,
강원,고성군,132,
강원,양양군,130,
충북,계,8,87.0
충북,청주시,3,352.0
충북,충주시,581,
충북,제천시,1,390.0
충북,청원군,1,216.0
충북,보은군,0,
충북,옥천군,100,
충북,영동군,39,
충북,증평군,21,
충북,진천군,972,
충북,괴산군,0,
충북,음성군,398,
충북,단양군,18,
충남,계,18,251.0
충남,천안시,8,822.0
충남,공주시,205,
충남,보령시,464,
충남,아산시,2,554.0
충남,서산시,379,
충남,논산시,370,
충남,계룡시,679,
충남,금산군,3,
충남,연기군,2,248.0
충남,부여군,0,
충남,서천군,81,
충남,청양군,0,
충남,홍성군,271,
충남,예산군,340,
충남,태안군,284,
충남,당진군,1,551.0
전북,계,4,264.0
전북,전주시,2,17.0
전북,군산시,1,752.0
전북,익산시,71,
전북,정읍시,40,
전북,남원시,70,
전북,김제시,13,
전북,완주군,21,
전북,진안군,91,
전북,무주군,0,
전북,장수군,0,
전북,임실군,0,
전북,순창군,0,
전북,고창군,189,
전북,부안군,0,
전남,계,5,944.0
전남,목포시,3,124.0
전남,여수시,142,
전남,순천시,461,
전남,나주시,527,
전남,광양시,901,
전남,담양군,0,
전남,곡성군,0,
전남,구례군,0,
전남,고흥군,8,
전남,보성군,0,
전남,화순군,0,
전남,장흥군,0,
전남,강진군,0,
전남,해남군,24,
전남,영암군,54,
전남,무안군,655,
전남,함평군,5,
전남,영광군,39,
전남,장성군,0,
전남,완도군,0,
전남,진도군,4,
전남,신안군,0,
경북,계,15,985.0
경북,포항시,5,608.0
경북,경주시,1,478.0
경북,김천시,325,
경북,안동시,180,
경북,구미시,4,400.0
경북,영주시,434,
경북,영천시,204,
경북,상주시,4,
경북,문경시,91,
경북,경산시,2,612.0
경북,군위군,0,
경북,의성군,0,
경북,청송군,0,
경북,영양군,0,
경북,영덕군,0,
경북,청도군,0,
경북,고령군,145,
경북,성주군,0,
경북,칠곡군,432,
경북,예천군,2,
경북,봉화군,0,
경북,울진군,70,
경북,울릉군,0,
경남,계,14,460.0
경남,창원시,0,
경남,마산시,751,
경남,진주시,2,230.0
경남,진해시,3,26.0
경남,통영시,888,
경남,사천시,229,
경남,김해시,676,
경남,밀양시,1,491.0
경남,거제시,37,
경남,양산시,754,
경남,의령군,4,76.0
경남,함안군,40,
경남,창녕군,106,
경남,고성군,12,
경남,남해군,0,
경남,하동군,0,
경남,산청군,0,
경남,함양군,136,
경남,거창군,7,
경남,합천군,1,
제주,계,282,
제주,제주시,168,
제주,서귀포시,114,
서울,계,2,295.0
서울,종로구,46,
서울,중구,228,
서울,용산구,7,
서울,성동구,104,
서울,광진구,20,
서울,동대문구,7,
서울,중랑구,0,
서울,성북구,164,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,208,
서울,서대문구,0,
서울,마포구,222,
서울,양천구,210,
서울,강서구,24,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,40,
서울,동작구,601,
서울,관악구,60,
서울,서초구,269,
서울,강남구,19,
