연월,지역,사업유형,주소,주택명,세대수
2026-09,강원,분양,강원특별자치도 강릉시 견소동  219-0,강릉 모아미래도 오션리버,561
2026-08,강원,분양,강원특별자치도 강릉시 견소동  244-2,강릉 오션시티 아이파크,794
2025-08,강원,분양조합,강원특별자치도 강릉시 교동  61-2,경남아너스빌 더센트로,456
2025-06,강원,분양,강원특별자치도 강릉시 교동  637-1,금호어울림 올림픽파크,346
2026-11,강원,분양,강원특별자치도 강릉시 송정동  산 77-3,강릉자이르네 디오션,228
2026-12,강원,분양,강원특별자치도 강릉시 주문진읍 주문리 762-5,강릉시 주문진 라일플로리스 벨벳 도시형생활주택,299
2025-10,강원,분양,강원특별자치도 강릉시 포남동  852-0,강릉KTX역 경남아너스빌,167
2026-01,강원,분양,강원특별자치도 고성군 토성면 아야진리 산 21-0,아야진 라메르 데시앙,811
2026-05,강원,분양,강원특별자치도 속초시 금호동  622-40,힐스테이트 속초,925
2025-02,강원,임대,강원특별자치도 양구군 양구읍 상리 124-1,강원양구 임대주택(국민.영구),100
2026-01,강원,분양,강원특별자치도 양양군 양양읍 구교리 57-0,양양 금호어울림 더퍼스트,279
2025-08,강원,임대,강원특별자치도 영월군 영월읍 덕포리 815번지,덕포행복주택,102
2025-10,강원,분양,강원특별자치도 원주시 관설동  1298-0,원주 동문 디 이스트,873
2025-02,강원,분양,강원특별자치도 원주시 관설동  1361-8,힐스테이트 원주 레스티지,975
2026-06,강원,분양,강원특별자치도 원주시 단구동  0-0,원주자이 센트로,970
2025-05,강원,분양,강원특별자치도 원주시 무실동  산 23-0,제일풍경채 원주 무실,997
2025-12,강원,분양,강원특별자치도 원주시 반곡동  1507-1,원주 롯데캐슬 시그니처,922
2025-10,강원,분양,강원특별자치도 원주시 반곡동  1833-0,유승한내들 더스카이,386
2026-03,강원,분양조합,강원특별자치도 원주시 원동  129-1,두산위브더제니스 센트럴 원주,1167
2025-02,강원,임대,강원특별자치도 원주시 태장동 577-3,원주동광뷰웰레이크포레(민간임대),604
2025-11,강원,분양,강원특별자치도 원주시 판부면 서곡리 산 48-0,e편한세상 원주 프리모원(1회차),350
2025-11,강원,분양,강원특별자치도 원주시 판부면 서곡리 산 48-0,e편한세상 원주 프리모원(2회차),222
2025-03,강원,임대,강원특별자치도 정선군 정선읍 봉양리 65-0,강원정선 국민임대 & 행복주택,100
2025-07,강원,임대,강원특별자치도 춘천시 근화동 751번지,춘천 시온숲속의아침뷰,318
2025-10,강원,임대,강원특별자치도 춘천시 동내면 학곡리 858,춘천학곡지구중해마루힐(민간임대),1114
2026-09,강원,분양,강원특별자치도 춘천시 동면 만천리 785-0,춘천 금호어울림 더 퍼스트,543
2026-08,강원,분양,강원특별자치도 춘천시 삼천동  22-2,춘천 레이크시티 아이파크,874
2025-10,강원,분양조합,강원특별자치도 춘천시 소양로2가  7-2,더샵 소양스타리버,1039
2026-10,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 23-26,대상 웰라움 홍천,200
2026-12,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 436-1,홍천 에듀포레 휴티스,239
2026-10,강원,분양,강원특별자치도 홍천군 홍천읍 희망리 396-9,스위트클래스 더 스카이 45,264
2025-07,경기,분양조합,경기도 가평군 설악면 신천리 산 45-27,디엘본 가평설악지역주택조합 아파트,420
2025-12,경기,분양,경기도 고양시 덕양구 신원동  591-0,"힐스테이트 삼송더카운티(고양삼송지구 블록형 단독주택용지 14-1,14-2,15블록)",107
2025-07,경기,임대,경기도 고양시 일산동구 장항동  0-0,고양장항 A-1블록(행복주택),1242
2026-04,경기,임대,경기도 고양시 일산동구 장항동  0-0,신혼희망타운(행복주택),279
2026-12,경기,분양,경기도 고양시 일산동구 장항동  658-65,고양장항 제일풍경채,1184
2026-04,경기,분양,경기도 고양시 장항동 663-106,고양장항A2(신혼희망타운),371
2025-07,경기,분양,경기도 고양시 풍동 1183번지,일산데이엔뷰(3단지)4BL,487
2025-08,경기,분양,경기도 고양시 풍동 767,일산데이엔뷰(2단지)2BL,737
2025-08,경기,분양,경기도 고양시 풍동 767,일산데이엔뷰(1단지)1BL,866
2026-06,경기,임대,경기도 과천시 갈현동  0-0,과천지식정보타운 S-11BL 행복주택(리츠),846
2025-11,경기,분양임대조합,경기도 광명시 광명동  88-14,광명 센트럴 아이파크,1957
2026-01,경기,분양임대조합,경기도 광명시 광명동  9-8,광명자이더샵포레나,3585
2026-01,경기,분양조합,경기도 광명시 소하동  883-18,광명 소하 신원아침도시2,203
2026-02,경기,분양조합,경기도 광명시 소하동  893-3,광명 소하 신원아침도시1*,144
2026-03,경기,임대,경기도 광명시 소하동 1342-5,더플러스 광명,152
2026-01,경기,분양조합,경기도 광명시 철산동  105-0,철산자이 브리에르,1490
2025-05,경기,분양임대조합,경기도 광명시 철산동  235-0,철산자이 더 헤리티지,3804
2026-06,경기,분양,경기도 광주시 송정동  산 28-4,광주 송정 중흥S-클래스 파크뷰,840
2026-10,경기,임대,경기도 광주시 역동 417-2,광주역세권청년혁신타운,316
2026-03,경기,분양임대조합,경기도 구리시 인창동  280-3,구리역 롯데캐슬 시그니처,1180
2025-05,경기,분양,경기도 군포시 금정동  77-4,금정역 개성로니엘,80
2025-02,경기,분양조합,경기도 남양주시 금곡동  404-20,금곡역 한신더휴,406
2026-00,경기,임대,경기도 남양주시 다산동 6111,다산지금A3(공공임대),518
