"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2019-01-01 ~ 2019-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 김포시"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 김포시 운양동","1331-1","1331","0001","한강신도시운양KCC스위첸","84.9600","201912","31","38,000","-","23","-","-","2018","김포한강11로 37","-","-","-","-"
"2","경기도 김포시 풍무동","1","0001","0000","길훈","84.8000","201912","31","17,500","-","2","-","-","1993","장릉로 56","-","-","-","-"
"3","경기도 김포시 통진읍 도사리","972","0972","0000","백석마을(신일해피)","84.8410","201912","31","19,000","-","14","-","-","2004","김포대로 1991","-","-","-","-"
"4","경기도 김포시 운양동","1439","1439","0000","전원마을(월드5차3단지)","134.9500","201912","31","28,500","-","4","-","-","2000","전원로38번길 86","-","-","-","-"
"5","경기도 김포시 장기동","1885-6","1885","0006","한강호반베르디움","59.9412","201912","31","25,800","-","18","-","-","2012","김포한강2로 229","-","-","-","-"
"6","경기도 김포시 장기동","1885-10","1885","0010","고창마을한양수자인리버팰리스","84.9255","201912","31","33,500","-","25","-","-","2012","김포한강3로 290-13","-","-","-","-"
"7","경기도 김포시 풍무동","748","0748","0000","당곡마을(월드메르디앙)","79.9966","201912","31","23,850","-","4","-","-","2002","풍무로69번길 51","-","-","-","-"
"8","경기도 김포시 풍무동","583-6","0583","0006","유현마을(신동아)","140.2300","201912","31","33,000","-","9","-","-","1999","유현로 19","-","-","-","-"
"9","경기도 김포시 구래동","6873-8","6873","0008","한가람마을(우미린)","105.7897","201912","31","37,000","-","8","-","-","2011","김포한강5로 417","-","-","-","-"
"10","경기도 김포시 북변동","802","0802","0000","풍년마을(서광)","84.7400","201912","31","26,500","-","5","-","-","1999","김포대로926번길 15","-","-","-","-"
"11","경기도 김포시 운양동","1249-1","1249","0001","풍경마을한강한라비발디","105.2990","201912","31","56,000","-","9","-","-","2013","김포한강11로255번길 149","-","-","-","-"
"12","경기도 김포시 구래동","6874-17","6874","0017","호수마을e편한세상아파트","84.6357","201912","31","30,000","-","5","-","-","2013","김포한강5로 385","-","-","-","-"
"13","경기도 김포시 사우동","300","0300","0000","원미","45.7800","201912","31","20,500","-","1","-","-","1987","조리미로 39-36","-","-","-","-"
"14","경기도 김포시 운양동","1300-3","1300","0003","김포한강신도시반도유보라2차","59.1119","201912","31","34,550","-","16","-","-","2013","김포한강11로 276","-","-","-","-"
"15","경기도 김포시 구래동","6887-1","6887","0001","호반베르디움더레이크2차","84.8559","201912","31","44,600","-","9","-","-","2018","김포한강4로 471","-","-","-","-"
"16","경기도 김포시 운양동","1304-5","1304","0005","풍경마을래미안한강2차","84.9800","201912","31","39,300","-","9","-","-","2014","김포한강11로 227","-","-","-","-"
"17","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9830","201912","31","28,800","-","5","-","-","2011","김포한강2로 208","-","-","-","-"
"18","경기도 김포시 사우동","300","0300","0000","원미","45.7800","201912","31","21,500","-","4","-","-","1987","조리미로 39-36","-","-","-","-"
"19","경기도 김포시 양촌읍 양곡리","1316","1316","0000","김포한강 신원 아침도시 고다니","74.8300","201912","31","24,100","-","10","-","-","2010","양곡2로30번길 77","-","-","-","-"
"20","경기도 김포시 풍무동","1060","1060","0000","풍무푸르지오센트레빌","84.9975","201912","31","50,000","-","26","-","-","2016","유현로 200","-","-","-","-"
"21","경기도 김포시 풍무동","936","0936","0000","풍무센트럴푸르지오","72.0573","201912","31","49,000","-","26","-","-","2018","유현로 215","-","-","-","-"
"22","경기도 김포시 장기동","2065-1","2065","0001","초당마을(우남퍼스트빌)","101.9600","201912","30","38,000","-","13","-","-","2011","김포한강2로 103","-","-","-","-"
"23","경기도 김포시 운양동","1435","1435","0000","전원마을(월드4차2단지)","134.9500","201912","30","32,000","-","6","-","-","2000","전원로 44","-","-","-","-"
"24","경기도 김포시 구래동","6888-2","6888","0002","구래역한강리슈빌","74.3770","201912","30","30,000","-","15","-","-","2012","김포한강8로 377","-","-","-","-"
"25","경기도 김포시 운양동","1436","1436","0000","전원마을(월드3차1단지)","123.6900","201912","30","29,000","-","11","-","-","1999","전원로 28","-","-","-","-"
"26","경기도 김포시 구래동","6873-8","6873","0008","한가람마을(우미린)","130.0122","201912","30","39,800","-","15","-","-","2011","김포한강5로 417","-","-","-","-"
"27","경기도 김포시 장기동","1655","1655","0000","초당마을(우미린)","98.5214","201912","30","34,800","-","8","-","-","2008","김포한강1로 10","-","-","-","-"
"28","경기도 김포시 감정동","517-1","0517","0001","쌍용","59.8000","201912","30","17,950","-","12","-","-","1998","중봉로58번길 46","-","-","-","-"
"29","경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.0140","201912","30","37,500","-","12","-","-","2012","중봉로 1-1","-","-","-","-"
"30","경기도 김포시 풍무동","748","0748","0000","당곡마을(월드메르디앙)","55.7447","201912","30","17,800","-","1","-","-","2002","풍무로69번길 51","-","-","-","-"
"31","경기도 김포시 풍무동","740","0740","0000","장릉마을(삼성쉐르빌)","137.2400","201912","30","25,300","-","15","-","-","2002","승가로 89","-","-","-","-"
"32","경기도 김포시 풍무동","1","0001","0000","길훈","136.1700","201912","30","23,000","-","7","-","-","1993","장릉로 56","-","-","-","-"
"33","경기도 김포시 양촌읍 양곡리","1316","1316","0000","김포한강 신원 아침도시 고다니","74.8300","201912","30","22,000","-","1","-","-","2010","양곡2로30번길 77","-","-","-","-"
"34","경기도 김포시 양촌읍 양곡리","1316","1316","0000","김포한강 신원 아침도시 고다니","84.9200","201912","30","26,000","-","15","-","-","2010","양곡2로30번길 77","-","-","-","-"
"35","경기도 김포시 장기동","1342","1342","0000","청송마을(현대2)","84.2810","201912","30","29,000","-","16","-","-","2001","청송로 20","-","-","-","-"
"36","경기도 김포시 장기동","2193","2193","0000","한강센트럴자이1단지","84.9699","201912","30","38,750","-","21","-","-","2017","태장로 845","-","-","-","-"
"37","경기도 김포시 장기동","2065-1","2065","0001","초당마을(우남퍼스트빌)","101.9600","201912","30","41,100","-","17","-","-","2011","김포한강2로 103","-","-","-","-"
"38","경기도 김포시 운양동","1434","1434","0000","전원마을(월드6차4단지)","84.9800","201912","30","28,500","-","4","-","-","2000","김포한강11로 158","-","-","-","-"
"39","경기도 김포시 고촌읍 신곡리","1291","1291","0000","고촌행정타운 한양수자인","64.9693","201912","29","47,800","-","4","-","-","2017","은행영사정로23번길 23","-","-","-","-"
"40","경기도 김포시 구래동","6888-4","6888","0004","구래역화성파크드림","74.9000","201912","29","31,000","-","18","-","-","2015","김포한강8로 365","-","-","-","-"
"41","경기도 김포시 풍무동","766","0766","0000","풍무자이2단지","106.4038","201912","29","37,300","-","3","-","-","2010","풍무로96번길 100","-","-","-","-"
"42","경기도 김포시 마산동","616-3","0616","0003","한강신도시레이크에일린의뜰","73.4149","201912","29","32,450","-","8","-","-","2017","김포한강8로 281","-","-","-","-"
"43","경기도 김포시 장기동","1885-6","1885","0006","한강호반베르디움","59.9920","201912","29","27,100","-","7","-","-","2012","김포한강2로 229","-","-","-","-"
"44","경기도 김포시 장기동","1885-10","1885","0010","고창마을한양수자인리버팰리스","84.8834","201912","29","33,700","-","6","-","-","2012","김포한강3로 290-13","-","-","-","-"
"45","경기도 김포시 풍무동","1060","1060","0000","풍무푸르지오센트레빌","72.1871","201912","29","40,000","-","29","-","-","2016","유현로 200","-","-","-","-"
"46","경기도 김포시 풍무동","1060","1060","0000","풍무푸르지오센트레빌","84.9873","201912","29","49,700","-","23","-","-","2016","유현로 200","-","-","-","-"
"47","경기도 김포시 풍무동","1060","1060","0000","풍무푸르지오센트레빌","111.8972","201912","29","57,000","-","28","-","-","2016","유현로 200","-","-","-","-"
"48","경기도 김포시 풍무동","759","0759","0000","유현마을(현대프라임빌)","134.5200","201912","29","36,800","-","15","-","-","2003","유현로 51","-","-","-","-"
"49","경기도 김포시 북변동","802","0802","0000","풍년마을(서광)","84.7400","201912","29","26,900","-","20","-","-","1999","김포대로926번길 15","-","-","-","-"
"50","경기도 김포시 운양동","1301-1","1301","0001","한강신도시롯데캐슬","84.7628","201912","29","42,500","-","11","-","-","2014","김포한강11로 275","-","-","-","-"
"51","경기도 김포시 구래동","6895-2","6895","0002","한강신도시3차푸르지오","59.5390","201912","28","31,000","-","16","-","-","2017","김포한강8로 409","-","-","-","-"
"52","경기도 김포시 장기동","1636","1636","0000","고창마을(제일풍경채)","84.9741","201912","28","33,000","-","18","-","-","2008","김포한강2로 189","-","-","-","-"
