"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2007-01-01 ~ 2007-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 구미동","63","0063","0000","까치마을(4단지)(롯데)","51.3200","200712","31","29,000","-","7","-","-","1995","미금일로 58","-","-","-","-"
"2","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(6단지)(우성)","48.8400","200712","31","24,500","-","3","-","-","1994","불정로 195","-","-","-","-"
"3","경기도 성남시 분당구 야탑동","330","0330","0000","장미마을(동부)","101.4100","200712","31","65,222","-","15","-","-","1993","장미로 55","-","-","-","-"
"4","경기도 성남시 분당구 정자동","125","0125","0000","상록마을(라이프2차)","49.1400","200712","31","33,150","-","5","-","-","1994","정자로76번길 10","-","-","-","-"
"5","경기도 성남시 분당구 서현동","96","0096","0000","시범우성","59.7600","200712","30","33,700","-","5","-","-","1991","중앙공원로 54","-","-","-","-"
"6","경기도 성남시 분당구 정자동","107","0107","0000","한솔마을(3단지)(한일)","130.5100","200712","29","87,500","-","12","-","-","1994","백현로 234","-","-","-","-"
"7","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","35.2800","200712","29","14,500","-","3","-","-","1995","미금일로 21","-","-","-","-"
"8","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","37.6700","200712","29","18,800","-","15","-","-","1995","내정로 54","-","-","-","-"
"9","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(6단지)(우성)","48.8400","200712","29","26,400","-","6","-","-","1994","불정로 195","-","-","-","-"
"10","경기도 성남시 분당구 이매동","142","0142","0000","아름마을(선경)","41.7600","200712","29","22,900","-","8","-","-","1993","이매로 11","-","-","-","-"
