"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2011-01-01 ~ 2011-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 송파구 가락동","80","0080","0000","성원상떼빌","108.6500","201112","31","56,000","-","6","-","-","2006","송파대로28길 27","-","-","-","-"
"2","서울특별시 송파구 가락동","479","0479","0000","시영2","44.6000","201112","31","56,300","-","1","-","-","1982","송파대로 345","-","-","-","-"
"3","서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50.0000","201112","31","36,000","-","14","-","-","1986","동남로11길 4","-","-","-","-"
"4","서울특별시 송파구 문정동","117","0117","0000","문정대우푸르지오3차","84.9600","201112","31","46,800","-","1","-","-","2002","송이로 257","-","-","-","-"
"5","서울특별시 송파구 잠실동","35","0035","0000","트리지움","84.9500","201112","31","90,000","-","19","-","-","2007","잠실로 62","-","-","-","-"
"6","서울특별시 송파구 풍납동","511","0511","0000","송파현대힐스테이트","84.9900","201112","31","54,500","-","10","-","-","2006","풍성로26길 31","-","-","-","-"
"7","서울특별시 송파구 신천동","17","0017","0000","파크리오","84.7900","201112","30","85,300","-","16","-","-","2008","올림픽로 435","-","-","-","-"
"8","서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85.0000","201112","30","52,000","-","12","-","-","1997","송파대로32길 15","-","-","-","-"
"9","서울특별시 송파구 송파동","33","0033","0000","호수임광","84.8700","201112","30","57,000","-","9","-","-","1995","송파대로48길 34","-","-","-","-"
"10","서울특별시 송파구 방이동","193-37","0193","0037","옥산크리스탈","74.5300","201112","30","29,000","-","5","-","-","2001","위례성대로14길 11","-","-","-","-"
