"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 하남시"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 하남시 선동","441","0441","0000","리버스위트칸타빌","92.5475","202212","31","87,500","-","3","-","-","2018","미사강변한강로 30","-","중개거래","경기 하남시","-"
"2","경기도 하남시 덕풍동","404-1","0404","0001","진모루마을현대","84.9987","202212","31","67,000","-","21","-","-","2000","신평로 81","-","중개거래","경기 하남시","-"
"3","경기도 하남시 신장동","527","0527","0000","해오름한국","59.9100","202212","30","48,000","-","4","-","-","1996","대청로59번길 15","-","중개거래","경기 하남시","-"
"4","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202212","30","90,500","-","1","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"5","경기도 하남시 망월동","1162","1162","0000","미사강변 골든 센트로","59.9600","202212","29","71,500","-","10","-","-","2014","미사강변동로 50","-","중개거래","경기 하남시","-"
"6","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","69.8500","202212","29","71,500","-","18","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"7","경기도 하남시 감이동","491","0491","0000","더샵포웰시티","90.8184","202212","29","68,400","-","10","-","-","2021","감일백제로 70","-","직거래","-","-"
"8","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","75.4800","202212","28","91,500","-","16","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"9","경기도 하남시 선동","441","0441","0000","리버스위트칸타빌","92.5475","202212","28","88,000","-","28","-","-","2018","미사강변한강로 30","-","중개거래","경기 하남시","-"
"10","경기도 하남시 신장동","528-5","0528","0005","백송한신","49.9800","202212","27","36,000","-","13","-","-","1994","대청로 50","-","직거래","-","-"
"11","경기도 하남시 망월동","1062","1062","0000","미사강변 하우스디 더 레이크","74.8600","202212","26","70,000","-","8","-","-","2016","미사강변대로 135","-","중개거래","경기 하남시","-"
"12","경기도 하남시 감이동","530","0530","0000","감일한라비발디","84.8700","202212","26","87,000","-","20","-","-","2019","감일백제로 65","-","중개거래","경기 하남시","-"
"13","경기도 하남시 풍산동","573","0573","0000","신안인스빌","84.3282","202212","24","89,500","-","26","-","-","2019","미사강변동로 19","-","중개거래","경기 하남시","-"
"14","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","84.9468","202212","24","83,700","-","14","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시","-"
"15","경기도 하남시 망월동","1060","1060","0000","미사강변푸르지오","84.9949","202212","24","89,000","-","13","-","-","2016","미사강변대로 165","-","중개거래","경기 안산단원구 경기 하남시","-"
"16","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9918","202212","24","72,000","-","14","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"17","경기도 하남시 학암동","663","0663","0000","위례신도시신안인스빌아스트로","96.9430","202212","23","128,000","-","22","-","-","2017","위례광장로 285","-","중개거래","경기 하남시","-"
"18","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9786","202212","23","80,000","-","27","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"19","경기도 하남시 망월동","956","0956","0000","미사강변스타힐스아파트","51.7300","202212","22","56,000","-","5","-","-","2016","미사강변대로 240","-","중개거래","경기 하남시","-"
"20","경기도 하남시 신장동","528-5","0528","0005","백송한신","49.9800","202212","22","35,000","-","5","-","-","1994","대청로 50","-","중개거래","경기 하남시","-"
"21","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202212","21","85,750","-","1","-","-","2016","위례중앙로 215","20230428","중개거래","경기 하남시","-"
"22","경기도 하남시 풍산동","477","0477","0000","미사강변동원로얄듀크","84.3852","202212","21","75,000","-","13","-","-","2016","미사강변서로 45","-","중개거래","경기 하남시","-"
"23","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202212","21","85,750","-","1","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"24","경기도 하남시 풍산동","627","0627","0000","하남힐즈파크푸르지오3단지","98.9628","202212","20","67,000","-","4","-","-","2018","세미로1길 30","-","직거래","-","-"
"25","경기도 하남시 풍산동","627","0627","0000","하남힐즈파크푸르지오3단지","98.9628","202212","20","70,000","-","2","-","-","2018","세미로1길 30","-","중개거래","경기 하남시 서울 강동구","-"
"26","경기도 하남시 망월동","1162","1162","0000","미사강변 골든 센트로","74.9600","202212","19","84,000","-","23","-","-","2014","미사강변동로 50","-","중개거래","-","-"
"27","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","84.9900","202212","19","72,000","-","17","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"28","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","97.7125","202212","17","90,000","-","9","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시 서울 강동구","-"
"29","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","202212","17","62,000","-","11","-","-","2006","하남대로887번길 25","-","중개거래","경기 하남시 서울 강동구","-"
"30","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202212","16","94,000","-","3","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"31","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","84.9400","202212","16","81,000","-","19","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"32","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202212","16","99,000","-","14","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"33","경기도 하남시 망월동","1060","1060","0000","미사강변푸르지오","74.9901","202212","15","76,500","-","6","-","-","2016","미사강변대로 165","-","중개거래","경기 하남시","-"
"34","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","84.9400","202212","15","80,000","-","17","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"35","경기도 하남시 풍산동","486","0486","0000","미사강변더샵센트럴포레","84.0380","202212","15","78,000","-","21","-","-","2017","미사강변대로 55","-","중개거래","경기 하남시","-"
"36","경기도 하남시 망월동","956","0956","0000","미사강변스타힐스아파트","51.8600","202212","14","60,000","-","7","-","-","2016","미사강변대로 240","-","중개거래","경기 하남시","-"
"37","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","202212","14","64,000","-","3","-","-","1994","대청로116번길 59","-","중개거래","경기 하남시","-"
"38","경기도 하남시 덕풍동","729","0729","0000","풍산삼부르네상스","101.9900","202212","13","69,000","-","13","-","-","2008","덕풍북로 140","-","직거래","-","-"
"39","경기도 하남시 감이동","530","0530","0000","감일한라비발디","84.8700","202212","13","78,800","-","1","-","-","2019","감일백제로 65","-","중개거래","경기 하남시 서울 송파구","-"
"40","경기도 하남시 감이동","458","0458","0000","힐스테이트포웰시티","84.4259","202212","12","89,000","-","7","-","-","2020","감일백제로 120","-","중개거래","경기 하남시","-"
"41","경기도 하남시 선동","455","0455","0000","미사강변리버뷰자이","102.0421","202212","12","138,000","-","22","-","-","2017","미사강변한강로 10","-","중개거래","경기 하남시","-"
"42","경기도 하남시 감이동","500","0500","0000","포웰시티푸르지오라포레","99.4327","202212","12","102,000","-","14","-","-","2021","감일백제로 20","-","직거래","-","-"
"43","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9786","202212","12","83,000","-","13","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"44","경기도 하남시 망월동","956","0956","0000","미사강변스타힐스아파트","51.7300","202212","11","59,000","-","9","-","-","2016","미사강변대로 240","-","중개거래","경기 하남시","-"
"45","경기도 하남시 감이동","491","0491","0000","더샵포웰시티","90.8184","202212","10","100,000","-","18","-","-","2021","감일백제로 70","-","중개거래","경기 하남시","-"
"46","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9918","202212","10","73,000","-","12","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"47","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","74.8000","202212","10","70,000","-","11","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"48","경기도 하남시 신장동","602","0602","0000","하남유니온시티에일린의뜰","84.9900","202212","10","88,500","-","12","-","-","2017","하남유니온로 70","-","중개거래","경기 하남시","-"
"49","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","84.9900","202212","09","77,200","-","4","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"50","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","91.4459","202212","09","91,500","-","21","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"51","경기도 하남시 덕풍동","731","0731","0000","하남풍산아이파크(5단지)","84.9690","202212","09","65,000","-","12","-","-","2008","덕풍서로 65","-","직거래","-","-"
"52","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9917","202212","09","76,000","-","19","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"53","경기도 하남시 신장동","561","0561","0000","에코타운(B블럭)","83.6700","202212","08","66,500","-","1","-","-","2004","하남대로802번길 55","-","중개거래","경기 남양주시 경기 하남시","-"
"54","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","91.4459","202212","08","90,000","-","11","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"55","경기도 하남시 망월동","910","0910","0000","미사강변파밀리에","84.7500","202212","07","72,000","-","27","-","-","2014","아리수로 589","20221223","직거래","-","-"
"56","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","101.7949","202212","07","113,000","-","15","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"57","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","84.9400","202212","07","82,000","-","7","-","-","2018","미사강변중앙로 90","-","중개거래","경기 양평군 경기 하남시","-"
"58","경기도 하남시 신장동","569","0569","0000","대명강변타운","84.8300","202212","06","68,000","-","5","-","-","2007","대청로 79","-","중개거래","경기 하남시","-"
"59","경기도 하남시 학암동","662","0662","0000","위례신도시엠코타운센트로엘","98.7503","202212","06","100,000","-","5","-","-","2016","위례광장로 265","20221220","직거래","-","-"
"60","경기도 하남시 덕풍동","537-1","0537","0001","덕풍쌍용","114.9800","202212","06","59,500","-","4","-","-","1998","역말로15번길 35","-","중개거래","경기 하남시","-"
"61","경기도 하남시 창우동","520","0520","0000","은행한신","134.9800","202212","05","80,000","-","7","-","-","1994","대청로116번길 30","-","중개거래","경기 하남시","-"
"62","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","74.8600","202212","03","70,000","-","3","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"63","경기도 하남시 풍산동","477","0477","0000","미사강변동원로얄듀크","84.3852","202212","03","78,000","-","16","-","-","2016","미사강변서로 45","-","중개거래","경기 남양주시 경기 하남시","-"
"64","경기도 하남시 풍산동","627","0627","0000","하남힐즈파크푸르지오3단지","98.9628","202212","03","74,000","-","11","-","-","2018","세미로1길 30","-","중개거래","경기 하남시","-"
"65","경기도 하남시 망월동","1127","1127","0000","미사역호반써밋","99.5481","202212","02","105,000","-","9","-","-","2019","미사강변한강로 270","-","중개거래","경기 하남시","-"
"66","경기도 하남시 풍산동","486","0486","0000","미사강변더샵센트럴포레","93.0610","202212","01","84,500","-","11","-","-","2017","미사강변대로 55","-","직거래","-","-"
"67","경기도 하남시 망월동","1127","1127","0000","미사역호반써밋","99.5481","202212","01","105,000","-","9","-","-","2019","미사강변한강로 270","20230227","중개거래","경기 하남시","-"
"68","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","74.8000","202212","01","72,000","-","5","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"69","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","84.9468","202211","29","90,000","-","14","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시 서울 송파구","-"
"70","경기도 하남시 덕풍동","688","0688","0000","한솔리치빌(3단지)","84.9900","202211","29","59,000","-","15","-","-","2006","덕산로 80","-","직거래","-","-"
"71","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","69.8500","202211","28","70,000","-","5","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"72","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","84.9400","202211","25","79,000","-","4","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"73","경기도 하남시 풍산동","568","0568","0000","이편한세상미사","84.9400","202211","25","82,000","-","20","-","-","2018","미사강변중앙로 90","-","중개거래","경기 하남시","-"
"74","경기도 하남시 감이동","530","0530","0000","감일한라비발디","84.9200","202211","25","91,500","-","14","-","-","2019","감일백제로 65","-","중개거래","경기 하남시","-"
"75","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","96.9876","202211","24","110,000","-","19","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"76","경기도 하남시 감이동","458","0458","0000","힐스테이트포웰시티","84.4259","202211","24","95,000","-","23","-","-","2020","감일백제로 120","-","중개거래","경기 하남시","-"
"77","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","96.3851","202211","23","110,000","-","25","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"78","경기도 하남시 풍산동","573","0573","0000","신안인스빌","84.3282","202211","22","90,000","-","13","-","-","2019","미사강변동로 19","-","중개거래","경기 하남시","-"
"79","경기도 하남시 학암동","673","0673","0000","위례그린파크푸르지오","101.9848","202211","21","121,000","-","1","-","-","2016","위례순환로 270","-","중개거래","경기 하남시","-"
"80","경기도 하남시 망월동","938","0938","0000","미사강변트래지안","51.6700","202211","20","52,000","-","9","-","-","2015","미사강변북로 130","-","중개거래","경기 하남시","-"
"81","경기도 하남시 선동","453","0453","0000","미사강변도시 베라체","84.8600","202211","20","71,000","-","13","-","-","2015","풍산로 270","-","중개거래","경기 하남시","-"
"82","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","202211","20","62,800","-","7","-","-","2006","하남대로887번길 25","-","중개거래","경기 하남시","-"
"83","경기도 하남시 망월동","938","0938","0000","미사강변트래지안","51.6700","202211","20","52,500","-","14","-","-","2015","미사강변북로 130","-","중개거래","경기 하남시","-"
"84","경기도 하남시 덕풍동","695","0695","0000","벽산블루밍","59.9100","202211","18","69,500","-","16","-","-","2007","신평로 36","-","중개거래","경기 하남시","-"
"85","경기도 하남시 덕풍동","336-40","0336","0040","라인","84.6900","202211","17","52,200","-","4","-","-","1997","하남대로 895","-","중개거래","경기 하남시","-"
"86","경기도 하남시 신장동","430-7","0430","0007","성원상떼빌","35.1000","202211","17","17,750","-","7","-","-","2003","신장로 104","-","중개거래","경기 하남시 서울 강동구","-"
"87","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","84.9900","202211","17","79,000","-","13","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"88","경기도 하남시 학암동","673","0673","0000","위례그린파크푸르지오","101.0970","202211","17","113,000","-","4","-","-","2016","위례순환로 270","-","중개거래","경기 하남시","-"
"89","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","84.9468","202211","17","86,000","-","5","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시","-"
"90","경기도 하남시 신장동","528","0528","0000","백조현대","49.9800","202211","16","35,000","-","19","-","-","1994","대청로 62","-","중개거래","경기 하남시","-"
"91","경기도 하남시 망월동","1062","1062","0000","미사강변 하우스디 더 레이크","84.8500","202211","16","77,800","-","15","-","-","2016","미사강변대로 135","-","중개거래","경기 하남시","-"
"92","경기도 하남시 덕풍동","372-2","0372","0002","대동피렌체","32.0040","202211","15","15,500","-","9","-","-","2005","신장로 151","-","중개거래","경기 하남시","-"
"93","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","59.8800","202211","15","60,000","-","13","-","-","2015","아리수로 499","-","직거래","-","-"
"94","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","84.9468","202211","13","82,000","-","2","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시","-"
"95","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202211","12","99,500","-","23","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"96","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","84.6700","202211","12","79,000","-","8","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"97","경기도 하남시 망월동","1062","1062","0000","미사강변 하우스디 더 레이크","84.8500","202211","12","78,000","-","6","-","-","2016","미사강변대로 135","-","중개거래","경기 하남시","-"
"98","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","84.6700","202211","11","80,500","-","18","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"99","경기도 하남시 덕풍동","524","0524","0000","덕풍현대","84.8100","202211","11","51,000","-","5","-","-","1995","대성로 259","-","중개거래","경기 하남시","-"
"100","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","60.8988","202211","11","64,000","-","22","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"101","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","59.8800","202211","10","66,000","-","4","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"102","경기도 하남시 창우동","518","0518","0000","부영","49.5800","202211","10","49,000","-","3","-","-","1994","대청로 119","-","중개거래","경기 하남시","-"
"103","경기도 하남시 선동","455","0455","0000","미사강변리버뷰자이","98.6115","202211","10","98,000","-","10","-","-","2017","미사강변한강로 10","-","중개거래","서울 강동구","-"
"104","경기도 하남시 망월동","1162","1162","0000","미사강변 골든 센트로","59.9600","202211","10","71,200","-","4","-","-","2014","미사강변동로 50","-","중개거래","경기 하남시","-"
"105","경기도 하남시 신장동","430-7","0430","0007","성원상떼빌","25.7400","202211","09","13,000","-","5","-","-","2003","신장로 104","-","중개거래","경기 하남시","-"
"106","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","84.9900","202211","09","76,800","-","19","-","-","2015","아리수로 499","-","중개거래","경기 하남시","-"
"107","경기도 하남시 망월동","956","0956","0000","미사강변스타힐스아파트","84.8900","202211","09","82,000","-","6","-","-","2016","미사강변대로 240","-","중개거래","경기 하남시","-"
"108","경기도 하남시 신장동","561","0561","0000","에코타운(B블럭)","83.0400","202211","09","73,000","-","22","-","-","2004","하남대로802번길 55","-","중개거래","경기 하남시","-"
"109","경기도 하남시 신장동","593","0593","0000","하남유시티대명루첸리버파크","74.3400","202211","08","72,000","-","1","-","-","2018","하남유니온로 30","20221121","중개거래","경기 하남시","-"
"110","경기도 하남시 신장동","593","0593","0000","하남유시티대명루첸리버파크","74.3400","202211","08","69,500","-","13","-","-","2018","하남유니온로 30","-","중개거래","경기 하남시","-"
"111","경기도 하남시 신장동","593","0593","0000","하남유시티대명루첸리버파크","74.3400","202211","08","72,000","-","2","-","-","2018","하남유니온로 30","-","중개거래","경기 하남시","-"
"112","경기도 하남시 망월동","1034","1034","0000","미사강변루나리움","84.9900","202211","06","75,000","-","15","-","-","2015","아리수로 499","-","직거래","-","-"
"113","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","84.6700","202211","05","75,000","-","5","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"114","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","84.6700","202211","05","80,000","-","8","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"115","경기도 하남시 감이동","530","0530","0000","감일한라비발디","84.8700","202211","04","90,000","-","20","-","-","2019","감일백제로 65","-","중개거래","경기 하남시","-"
"116","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.8900","202211","04","65,500","-","3","-","-","1994","대청로116번길 59","-","중개거래","경기 하남시","-"
"117","경기도 하남시 망월동","1050","1050","0000","미사강변 센텀팰리스","84.6700","202211","04","80,000","-","5","-","-","2016","미사강변서로 127","-","중개거래","경기 하남시","-"
"118","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","202211","03","63,000","-","11","-","-","1995","대청로116번길 59","-","중개거래","경기 하남시","-"
"119","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","202211","03","63,000","-","10","-","-","1995","대청로116번길 59","20221128","중개거래","경기 하남시","-"
"120","경기도 하남시 선동","423","0423","0000","리버나인RIVERNINE","84.9700","202211","01","85,000","-","14","-","-","2014","미사강변한강로 110","-","중개거래","경기 하남시","-"
"121","경기도 하남시 학암동","672","0672","0000","위례롯데캐슬 ","84.9800","202211","01","95,000","-","2","-","-","2016","위례중앙로 215","-","중개거래","경기 하남시","-"
"122","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9918","202210","31","77,000","-","9","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"123","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9918","202210","31","77,000","-","9","-","-","2017","미사강변동로 20","20221114","중개거래","경기 하남시","-"
"124","경기도 하남시 풍산동","480","0480","0000","미사강변센트럴자이","96.9876","202210","31","119,000","-","15","-","-","2017","미사강변대로 95","-","중개거래","경기 하남시","-"
"125","경기도 하남시 선동","453","0453","0000","미사강변도시 베라체","84.8600","202210","30","75,000","-","18","-","-","2015","풍산로 270","-","중개거래","경기 하남시","-"
"126","경기도 하남시 망월동","956","0956","0000","미사강변스타힐스아파트","84.8900","202210","29","90,000","-","11","-","-","2016","미사강변대로 240","-","중개거래","경기 하남시","-"
"127","경기도 하남시 신장동","593","0593","0000","하남유시티대명루첸리버파크","74.3400","202210","27","66,000","-","23","-","-","2018","하남유니온로 30","-","직거래","-","-"
"128","경기도 하남시 감이동","530","0530","0000","감일한라비발디","84.8700","202210","27","90,000","-","10","-","-","2019","감일백제로 65","-","중개거래","경기 하남시","-"
"129","경기도 하남시 망월동","1127","1127","0000","미사역호반써밋","99.8880","202210","26","121,000","-","20","-","-","2019","미사강변한강로 270","-","중개거래","경기 하남시","-"
"130","경기도 하남시 망월동","904","0904","0000","미사강변한신휴플러스","74.6100","202210","26","80,000","-","1","-","-","2015","미사강변한강로 170","-","직거래","-","-"
"131","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9786","202210","25","84,000","-","26","-","-","2017","미사강변동로 20","20230217","중개거래","경기 하남시","-"
"132","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","84.9786","202210","25","84,000","-","26","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
"133","경기도 하남시 선동","423","0423","0000","리버나인RIVERNINE","84.9700","202210","24","76,500","-","12","-","-","2014","미사강변한강로 110","-","중개거래","경기 하남시","-"
"134","경기도 하남시 덕풍동","731","0731","0000","하남풍산아이파크(5단지)","84.9660","202210","24","83,000","-","3","-","-","2008","덕풍서로 65","-","중개거래","경기 하남시","-"
"135","경기도 하남시 망월동","1125","1125","0000","미사역파라곤","102.8615","202210","24","90,000","-","4","-","-","2021","미사강변동로 100","-","직거래","-","-"
"136","경기도 하남시 풍산동","471","0471","0000","미사강변센트럴풍경채","97.2839","202210","21","99,500","-","16","-","-","2019","미사강변서로 65","-","중개거래","경기 하남시","-"
"137","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","60.8988","202210","21","65,000","-","21","-","-","2017","미사강변동로 20","20221111","중개거래","경기 하남시","-"
"138","경기도 하남시 망월동","1177","1177","0000","미사강변사랑으로부영아파트","60.8988","202210","21","65,000","-","21","-","-","2017","미사강변동로 20","-","중개거래","경기 하남시","-"
