"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2008-01-01 ~ 2008-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산서구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산서구 주엽동","49","0049","0000","강선마을5단지(동부,건영)","133.7400","200812","31","50,000","-","8","-","-","1994","강선로 92","-","-","-","-"
"2","경기도 고양시 일산서구 가좌동","1086","1086","0000","가좌마을6단지벽산","124.9440","200812","31","46,250","-","10","-","-","2005","가좌2로 22","-","-","-","-"
"3","경기도 고양시 일산서구 일산동","1086","1086","0000","후곡마을(동아16)","71.3160","200812","31","26,500","-","10","-","-","1995","강선로 141","-","-","-","-"
"4","경기도 고양시 일산서구 일산동","2121","2121","0000","신원2","84.9610","200812","31","28,000","-","2","-","-","2003","원일로 3","-","-","-","-"
"5","경기도 고양시 일산서구 대화동","2579","2579","0000","킨텍스양우파크타운","84.2266","200812","30","31,300","-","10","-","-","2003","대화1로 70","-","-","-","-"
"6","경기도 고양시 일산서구 덕이동","1037","1037","0000","동문2","84.3316","200812","30","27,000","-","13","-","-","2002","덕산로 282","-","-","-","-"
"7","경기도 고양시 일산서구 주엽동","101","0101","0000","강선마을14단지두산","59.7600","200812","29","22,400","-","9","-","-","1994","강선로 33","-","-","-","-"
"8","경기도 고양시 일산서구 주엽동","38","0038","0000","강선마을2단지경남","164.8800","200812","29","50,000","-","1","-","-","1994","강선로 116","-","-","-","-"
"9","경기도 고양시 일산서구 가좌동","1089","1089","0000","가좌마을2단지대우","84.8972","200812","29","29,500","-","20","-","-","2005","가좌3로 45","-","-","-","-"
"10","경기도 고양시 일산서구 일산동","1686","1686","0000","산들마을","84.9300","200812","29","33,000","-","21","-","-","2005","고양대로 719-12","-","-","-","-"
"11","경기도 고양시 일산서구 대화동","2570","2570","0000","킨텍스휴먼빌(6단지)","84.2865","200812","29","29,500","-","12","-","-","2003","대화2로 121","-","-","-","-"
"12","경기도 고양시 일산서구 주엽동","63","0063","0000","강선마을8단지(롯데,럭키)","84.9900","200812","29","34,000","-","6","-","-","1993","강선로 70","-","-","-","-"
"13","경기도 고양시 일산서구 탄현동","1479","1479","0000","탄현마을(현대)","68.0400","200812","27","19,800","-","10","-","-","1994","현중로 64","-","-","-","-"
"14","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","84.7300","200812","27","32,500","-","14","-","-","2001","일현로 140","-","-","-","-"
"15","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(금호)","83.7700","200812","27","28,500","-","2","-","-","1995","후곡로 36","-","-","-","-"
"16","경기도 고양시 일산서구 주엽동","138","0138","0000","문촌마을12단지유승","57.6000","200812","26","18,000","-","17","-","-","1996","중앙로 1493","-","-","-","-"
"17","경기도 고양시 일산서구 대화동","2236","2236","0000","장성마을(대명2)","59.0400","200812","26","20,000","-","7","-","-","1995","일산로 790","-","-","-","-"
"18","경기도 고양시 일산서구 주엽동","29","0029","0000","문촌마을4단지삼익","100.8400","200812","25","41,700","-","10","-","-","1994","대산로 141","-","-","-","-"
"19","경기도 고양시 일산서구 주엽동","63","0063","0000","강선마을8단지(롯데,럭키)","60.0000","200812","25","21,500","-","3","-","-","1993","강선로 70","-","-","-","-"
"20","경기도 고양시 일산서구 주엽동","60","0060","0000","강선마을9단지화성","69.9000","200812","25","25,750","-","8","-","-","1993","강성로 62","-","-","-","-"
"21","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(금호)","41.8500","200812","24","13,500","-","9","-","-","1995","후곡로 36","-","-","-","-"
"22","경기도 고양시 일산서구 탄현동","1477","1477","0000","탄현마을(건영5)","68.2900","200812","24","19,000","-","16","-","-","1995","현중로 61","-","-","-","-"
"23","경기도 고양시 일산서구 일산동","1103","1103","0000","후곡마을(주공)","68.1300","200812","23","20,750","-","2","-","-","1995","강선로 188","-","-","-","-"
"24","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(한양)","84.9450","200812","23","34,000","-","8","-","-","1995","후곡로 36","-","-","-","-"
"25","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(금호)","41.8500","200812","22","13,500","-","9","-","-","1995","후곡로 36","-","-","-","-"
"26","경기도 고양시 일산서구 주엽동","98","0098","0000","강선마을19단지우성","125.3200","200812","22","59,000","-","8","-","-","1994","강선로 9","-","-","-","-"
"27","경기도 고양시 일산서구 대화동","2579","2579","0000","킨텍스양우파크타운","84.2266","200812","22","32,000","-","15","-","-","2003","대화1로 70","-","-","-","-"
"28","경기도 고양시 일산서구 가좌동","1089","1089","0000","가좌마을2단지대우","84.8972","200812","22","29,000","-","14","-","-","2005","가좌3로 45","-","-","-","-"
"29","경기도 고양시 일산서구 일산동","1074","1074","0000","후곡마을(서안)","101.2400","200812","20","42,000","-","12","-","-","1995","강선로 187","-","-","-","-"
"30","경기도 고양시 일산서구 가좌동","1090","1090","0000","가좌마을1단지양우","84.6399","200812","20","30,500","-","15","-","-","2005","가좌4로 29","-","-","-","-"
"31","경기도 고양시 일산서구 가좌동","1089","1089","0000","가좌마을2단지대우","84.8972","200812","20","30,000","-","7","-","-","2005","가좌3로 45","-","-","-","-"
"32","경기도 고양시 일산서구 대화동","2570","2570","0000","킨텍스휴먼빌(5단지)","84.3669","200812","20","30,700","-","8","-","-","2003","대화1로 61","-","-","-","-"
"33","경기도 고양시 일산서구 주엽동","65","0065","0000","강선마을7단지(삼환,유원)","71.0630","200812","20","25,000","-","9","-","-","1993","강선로 71","-","-","-","-"
"34","경기도 고양시 일산서구 일산동","1086","1086","0000","후곡마을(동아16)","48.8400","200812","20","15,400","-","4","-","-","1995","강선로 141","-","-","-","-"
"35","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(금호)","83.7700","200812","19","33,500","-","5","-","-","1995","후곡로 36","-","-","-","-"
"36","경기도 고양시 일산서구 일산동","1670","1670","0000","산들마을5단지","84.8617","200812","19","20,000","-","2","-","-","2004","일중로 30","-","-","-","-"
