"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산서구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산서구 일산동","576-4","0576","0004","일산쌍용","84.9620","202212","30","27,000","-","16","-","-","1997","탄중로 447","-","중개거래","경기 고양일산동구","-"
"2","경기도 고양시 일산서구 주엽동","49","0049","0000","강선마을5단지(동부,건영)","100.1400","202212","30","60,000","-","13","-","-","1994","강선로 92","-","중개거래","경기 고양일산서구","-"
"3","경기도 고양시 일산서구 주엽동","138","0138","0000","문촌마을12단지유승","57.6000","202212","30","35,000","-","13","-","-","1996","중앙로 1493","-","중개거래","경기 고양일산서구","-"
"4","경기도 고양시 일산서구 주엽동","49","0049","0000","강선마을5단지(동부,건영)","100.1400","202212","30","60,000","-","13","-","-","1994","강선로 92","20230316","중개거래","경기 고양일산서구","-"
"5","경기도 고양시 일산서구 일산동","1046","1046","0000","후곡마을(동양)","71.0800","202212","30","45,000","-","10","-","-","1995","후곡로 55","-","중개거래","경기 김포시","-"
"6","경기도 고양시 일산서구 탄현동","1473","1473","0000","탄현마을(일신)","53.1200","202212","29","18,000","-","15","-","-","1994","탄현로 80","-","중개거래","경기 고양일산서구 경기 파주시","-"
"7","경기도 고양시 일산서구 주엽동","1","0001","0000","문촌마을1단지우성","69.0900","202212","29","38,000","-","8","-","-","1994","대산로 184","-","중개거래","경기 고양일산서구","-"
"8","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","59.8200","202212","29","26,000","-","15","-","-","2001","일현로 140","20230120","직거래","-","-"
"9","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","59.8200","202212","29","26,000","-","15","-","-","2001","일현로 140","-","중개거래","경기 고양일산서구","-"
"10","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","84.7300","202212","28","36,000","-","19","-","-","2001","일현로 140","-","중개거래","경기 고양일산서구","-"
