"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2014-01-01 ~ 2014-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 하남시"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 하남시 창우동","518","0518","0000","부영","59.9700","201412","31","27,000","-","3","-","-","1994","대청로 119","-","-","-","-"
"2","경기도 하남시 덕풍동","524","0524","0000","덕풍현대","59.9100","201412","31","21,000","-","12","-","-","1997","대성로 259","-","-","-","-"
"3","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","201412","31","33,800","-","8","-","-","2006","하남대로887번길 25","-","-","-","-"
"4","경기도 하남시 신장동","430-7","0430","0007","성원상떼빌","74.4400","201412","31","22,700","-","10","-","-","2003","신장로 104","-","-","-","-"
"5","경기도 하남시 신장동","528-5","0528","0005","백송한신","49.9800","201412","31","19,500","-","8","-","-","1994","대청로 50","-","-","-","-"
"6","경기도 하남시 신장동","570","0570","0000","하남두산위브파크","138.6600","201412","31","58,500","-","13","-","-","2010","하남대로 747","-","-","-","-"
"7","경기도 하남시 신장동","561","0561","0000","에코타운(B블럭)","83.6700","201412","30","35,000","-","2","-","-","2004","하남대로802번길 55","-","-","-","-"
"8","경기도 하남시 덕풍동","537-1","0537","0001","덕풍쌍용","114.9800","201412","30","28,500","-","6","-","-","1998","역말로 15-35","-","-","-","-"
"9","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","201412","30","32,900","-","15","-","-","1995","대청로116번길 59","-","-","-","-"
"10","경기도 하남시 창우동","518","0518","0000","부영","49.5800","201412","30","18,000","-","1","-","-","1994","대청로 119","-","-","-","-"
"11","경기도 하남시 덕풍동","695","0695","0000","벽산블루밍","84.9600","201412","29","35,500","-","22","-","-","2007","신평로 36","-","-","-","-"
