No,지역,지역.1,지역.2,2013년 1월,2013년 2월,2013년 3월,2013년 4월,2013년 5월,2013년 6월,2013년 7월,2013년 8월,2013년 9월,2013년 10월,2013년 11월,2013년 12월,2014년 1월,2014년 2월,2014년 3월,2014년 4월,2014년 5월,2014년 6월,2014년 7월,2014년 8월,2014년 9월,2014년 10월,2014년 11월,2014년 12월,2015년 1월,2015년 2월,2015년 3월,2015년 4월,2015년 5월,2015년 6월,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월
No,지역,지역,지역,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수,동(호)수
No,지역,지역,지역,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수,호수
1,서울,송파구,송파구,52,238,473,573,683,803,85,152,286,559,529,516,424,515,729,556,354,287,384,468,634,719,560,367,445,466,791,836,773,737,762,664,578,714,746,725,329,313,350,470,740,994,1010,889,742,994,805,554,291,335,512,589,920,1119,1110,1067,613,260,533,694,859,926,834,279,236,192,211,310,775,884,229,169,83,79,91,162,295,377,682,771,506,538,855,1127,581,397,343,147,237,741,1033,393,274,229,260,595,317,245,220,172,292,182,216,218,217,166,87,64,57,62,60,79,116,57,53,34,45,40,46,78,98,233,265,242,338,295,291,277,290,208,135,135,184,170,246,352,403,441,705,588,415,251,289,285
2,경기,성남시,분당구,61,249,407,561,819,964,130,242,378,726,770,711,561,829,889,698,470,415,496,514,775,1510,667,531,511,614,920,984,866,701,739,626,622,830,824,733,512,364,554,467,641,778,1033,979,944,1339,1124,649,373,359,478,549,976,1412,1380,1326,1147,222,494,687,1118,1474,1036,301,240,196,264,387,1078,981,193,124,98,64,79,108,181,256,565,671,605,699,1013,1476,1178,818,770,296,354,1075,1723,626,659,700,779,1435,565,677,672,268,354,310,321,386,501,381,383,210,243,88,185,271,226,126,68,30,44,52,43,58,68,254,293,287,417,414,376,398,317,234,178,133,194,206,264,371,402,732,827,485,385,329,254,277
3,경기,고양시,고양시,397,842,1414,1550,1701,2127,566,783,1186,2331,1880,1608,1203,1514,1660,1651,1166,1010,1160,1203,1659,2072,1415,1252,1267,1346,2102,2375,2081,2190,2355,1941,1578,1979,1662,1309,999,911,1305,1525,2043,2136,2168,2216,2121,2291,1844,1113,853,1100,1287,1195,1477,2027,2269,1706,1213,826,987,935,927,977,1538,877,916,884,821,986,2053,2032,1110,691,644,499,566,608,680,627,678,724,778,1095,1688,2334,1916,1985,2018,1145,1445,4148,2855,1406,1175,1357,2078,3423,1734,932,933,800,1138,1219,1408,1189,1119,826,498,380,287,333,510,647,679,404,257,195,189,183,205,216,245,575,635,659,723,800,700,802,771,658,538,452,580,661,671,810,752,841,1174,930,801,653,629,560
4,경기,고양시,덕양구,87,209,450,484,615,707,187,292,459,770,613,520,452,575,664,586,453,422,441,448,617,802,527,477,543,504,898,949,826,794,860,618,518,727,615,453,373,379,611,604,708,812,880,819,820,862,661,397,319,359,470,460,569,793,808,629,420,322,398,382,389,432,672,372,371,383,383,521,1232,1013,531,292,246,180,233,224,265,258,292,336,311,419,529,803,812,853,838,451,582,1359,1003,543,421,475,665,1149,786,371,368,321,395,577,626,514,446,289,170,153,109,139,199,211,199,133,88,75,85,87,80,93,116,238,315,286,350,376,282,355,338,284,208,187,262,331,294,350,322,353,540,409,352,275,272,231
5,경기,고양시,일산동구,177,375,527,527,482,517,144,188,244,518,513,409,215,332,395,395,315,266,304,267,405,522,384,357,319,346,457,571,460,538,538,420,353,441,376,316,209,177,270,305,442,532,512,451,441,508,441,270,174,240,295,259,355,441,488,393,286,165,193,206,191,189,302,169,198,204,164,176,344,391,243,150,147,122,122,128,130,147,138,138,159,247,348,569,447,468,491,275,382,1033,691,319,284,363,507,836,402,211,228,185,234,195,222,235,226,191,116,82,74,78,100,172,191,86,58,44,40,33,51,54,57,150,136,167,169,164,168,181,148,155,136,103,117,141,173,187,172,205,268,238,198,184,150,152
6,경기,고양시,일산서구,133,258,437,539,604,903,235,303,483,1043,754,679,536,607,601,670,398,322,415,488,637,748,504,418,405,496,747,855,795,858,957,903,707,811,671,540,417,355,424,616,893,792,776,946,860,921,742,446,360,501,522,476,553,793,973,684,507,339,396,347,347,356,564,336,347,297,274,289,477,628,336,249,251,197,211,256,285,222,248,250,308,429,811,962,657,664,689,419,481,1756,1161,544,470,519,906,1438,546,350,337,294,509,447,560,440,447,346,212,145,104,116,211,264,289,185,111,76,64,63,74,69,72,187,184,206,204,260,250,266,285,219,194,162,201,189,204,273,258,283,366,283,251,194,207,177
7,경기,하남시,하남시,17,64,114,124,160,178,48,64,109,165,171,152,80,134,196,179,142,96,110,109,156,237,188,169,134,182,304,291,182,173,442,164,154,178,179,168,92,70,132,173,116,165,227,201,283,344,274,146,94,94,162,132,203,402,418,392,223,204,221,179,168,300,483,242,179,150,185,482,304,340,148,82,83,64,66,75,109,132,198,288,258,314,428,582,402,396,315,121,148,488,1602,316,220,216,147,389,350,325,243,179,291,133,187,410,524,377,239,203,333,133,118,288,245,156,193,103,39,29,53,56,111,230,313,271,283,289,277,222,224,149,126,113,165,154,236,299,357,390,683,560,335,294,300,320
