시도별,경제활동별,항목,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
전국,지역내총생산(시장가격),명목,1574868314.0,1640110498.0,1743141850.0,1834868129.0,1935809579.0,2007811627.0,2042981250.0,2062489906.0,2224179729.0,2327595674.0,2404190710.0
전국,지역내총생산(시장가격),실질,1734211430.0,1790169111.0,1843297604.0,1901154107.0,1965889849.0,2026457077.0,2075340783.0,2062489906.0,2155993359.0,2214910682.0,2246567225.0
전국,지역내총생산(시장가격),실질기여도,3.38,3.23,2.97,3.14,3.41,3.08,2.41,-0.62,4.53,2.73,1.43
서울특별시,지역내총생산(시장가격),명목,355173174.0,365436782.0,386818107.0,407074525.0,427092668.0,451385832.0,465940680.0,472863219.0,507460707.0,528484481.0,547617706.0
서울특별시,지역내총생산(시장가격),실질,398144419.0,404439495.0,416886307.0,431299923.0,442507582.0,460496443.0,475206455.0,472863219.0,491388714.0,504359507.0,508134358.0
서울특별시,지역내총생산(시장가격),실질기여도,1.93,1.58,3.08,3.46,2.6,4.07,3.19,-0.49,3.92,2.64,0.75
부산광역시,지역내총생산(시장가격),명목,77941129.0,82824354.0,88748972.0,92379867.0,93177783.0,96494588.0,99530641.0,98225367.0,106510275.0,113844056.0,114165483.0
부산광역시,지역내총생산(시장가격),실질,86953935.0,90937348.0,94037092.0,96661499.0,96123065.0,99017683.0,101231135.0,98225367.0,100759135.0,102497863.0,103284364.0
부산광역시,지역내총생산(시장가격),실질기여도,2.05,4.58,3.41,2.79,-0.56,3.01,2.24,-2.97,2.58,1.73,0.77
대구광역시,지역내총생산(시장가격),명목,50155964.0,52255184.0,56003260.0,57550511.0,59404957.0,60778388.0,62510363.0,62597844.0,66531828.0,70327334.0,73115439.0
대구광역시,지역내총생산(시장가격),실질,56400530.0,57929076.0,60132325.0,60452128.0,61561805.0,62307884.0,63321613.0,62597844.0,65647017.0,67070053.0,67890242.0
대구광역시,지역내총생산(시장가격),실질기여도,3.54,2.71,3.8,0.53,1.84,1.21,1.63,-1.14,4.87,2.17,1.22
인천광역시,지역내총생산(시장가격),명목,71241021.0,76017965.0,81805340.0,86826282.0,91217759.0,93031135.0,95272174.0,95297255.0,104386038.0,113253070.0,116862796.0
인천광역시,지역내총생산(시장가격),실질,81108965.0,84859038.0,86908732.0,89458652.0,93271247.0,95614030.0,97928366.0,95297255.0,99781575.0,106604503.0,111713519.0
인천광역시,지역내총생산(시장가격),실질기여도,2.7,4.62,2.42,2.93,4.26,2.51,2.42,-2.69,4.71,6.84,4.79
광주광역시,지역내총생산(시장가격),명목,33457826.0,35279756.0,37243072.0,39427386.0,41047259.0,42560850.0,44387597.0,45603430.0,47377153.0,49223290.0,51874860.0
광주광역시,지역내총생산(시장가격),실질,37626173.0,39026661.0,39740353.0,41006076.0,42364984.0,43465885.0,44768906.0,45603430.0,47473959.0,47950970.0,48615925.0
광주광역시,지역내총생산(시장가격),실질기여도,3.73,3.72,1.83,3.18,3.31,2.6,3.0,1.86,4.1,1.0,1.39
대전광역시,지역내총생산(시장가격),명목,34498814.0,35784897.0,37893020.0,40347343.0,41679606.0,42410316.0,44901333.0,46659399.0,48803055.0,50666636.0,54011008.0
대전광역시,지역내총생산(시장가격),실질,39001772.0,39807863.0,40778650.0,42451687.0,43053792.0,43382180.0,45590349.0,46659399.0,47751082.0,48631895.0,50363397.0
대전광역시,지역내총생산(시장가격),실질기여도,1.38,2.07,2.44,4.1,1.42,0.76,5.09,2.34,2.34,1.84,3.56
울산광역시,지역내총생산(시장가격),명목,74674568.0,73436988.0,76116207.0,75839539.0,77390966.0,75961335.0,75031057.0,67807980.0,79762196.0,84886776.0,89871247.0
울산광역시,지역내총생산(시장가격),실질,78605846.0,78730964.0,79111434.0,77042517.0,77113346.0,76025976.0,75021093.0,67807980.0,72410215.0,75151722.0,77569555.0
울산광역시,지역내총생산(시장가격),실질기여도,0.59,0.16,0.48,-2.62,0.09,-1.41,-1.32,-9.61,6.79,3.79,3.22
세종특별자치시,지역내총생산(시장가격),명목,7040434.0,8919847.0,9958014.0,10962552.0,11938796.0,12433506.0,13373529.0,14005902.0,15455438.0,16055841.0,16719226.0
세종특별자치시,지역내총생산(시장가격),실질,7955667.0,10002318.0,10832018.0,11728167.0,12431370.0,12796748.0,13684126.0,14005902.0,15040763.0,15374819.0,15567924.0
세종특별자치시,지역내총생산(시장가격),실질기여도,0.0,25.73,8.3,8.27,6.0,2.94,6.93,2.35,7.39,2.22,1.26
경기도,지역내총생산(시장가격),명목,352021892.0,371520933.0,404868209.0,433443961.0,474938853.0,502061943.0,504950695.0,523161883.0,563385809.0,587328570.0,593555609.0
경기도,지역내총생산(시장가격),실질,382445134.0,399546067.0,422460874.0,443452378.0,471235705.0,495533858.0,508689650.0,523161883.0,554006378.0,571942091.0,578124323.0
경기도,지역내총생산(시장가격),실질기여도,5.7,4.47,5.74,4.97,6.27,5.16,2.65,2.85,5.9,3.24,1.08
강원특별자치도,지역내총생산(시장가격),명목,37267494.0,39794736.0,41872021.0,44677444.0,47451175.0,49092745.0,51349811.0,51573015.0,55267031.0,57723494.0,62107276.0
강원특별자치도,지역내총생산(시장가격),실질,42411170.0,44455174.0,45270901.0,47177264.0,49581920.0,50631403.0,52507151.0,51573015.0,54326451.0,55031064.0,56534548.0
강원특별자치도,지역내총생산(시장가격),실질기여도,3.54,4.82,1.83,4.21,5.1,2.12,3.7,-1.78,5.34,1.3,2.73
충청북도,지역내총생산(시장가격),명목,50305151.0,52870338.0,58256451.0,63793617.0,69598516.0,74435481.0,76210571.0,75771650.0,80518621.0,84809085.0,88220092.0
충청북도,지역내총생산(시장가격),실질,55028729.0,57390092.0,61313685.0,65640226.0,70008958.0,74445943.0,77100362.0,75771650.0,80225958.0,83583153.0,83254787.0
충청북도,지역내총생산(시장가격),실질기여도,4.09,4.29,6.84,7.06,6.66,6.34,3.57,-1.72,5.88,4.18,-0.39
충청남도,지역내총생산(시장가격),명목,96077771.0,99293207.0,104232835.0,110329172.0,120242248.0,122192547.0,120090285.0,122866948.0,135882266.0,140928250.0,142638317.0
충청남도,지역내총생산(시장가격),실질,100725908.0,103895633.0,105415121.0,109138568.0,117356836.0,120403679.0,121633745.0,122866948.0,129853261.0,133543615.0,134256079.0
충청남도,지역내총생산(시장가격),실질기여도,-1.05,3.15,1.46,3.53,7.53,2.6,1.02,1.01,5.69,2.84,0.53
전북특별자치도,지역내총생산(시장가격),명목,45597181.0,47364315.0,49231041.0,50102714.0,52196096.0,53437977.0,55083789.0,56361767.0,59431746.0,61285279.0,64161049.0
전북특별자치도,지역내총생산(시장가격),실질,51838417.0,52881227.0,53156859.0,52777144.0,54489564.0,55221867.0,56458982.0,56361767.0,58223882.0,58988748.0,58845640.0
전북특별자치도,지역내총생산(시장가격),실질기여도,4.41,2.01,0.52,-0.71,3.24,1.34,2.24,-0.17,3.3,1.31,-0.24
전라남도,지역내총생산(시장가격),명목,70398062.0,70461464.0,73361198.0,76379384.0,78232007.0,79193518.0,79853688.0,81298601.0,93701706.0,96168598.0,98125127.0
전라남도,지역내총생산(시장가격),실질,77382147.0,77625393.0,78147058.0,79506835.0,80385320.0,80900123.0,82491753.0,81298601.0,84905891.0,84275132.0,85319020.0
전라남도,지역내총생산(시장가격),실질기여도,2.15,0.31,0.67,1.74,1.1,0.64,1.97,-1.45,4.44,-0.74,1.24
경상북도,지역내총생산(시장가격),명목,102091617.0,109077761.0,109563894.0,112216094.0,115044741.0,115378926.0,113784086.0,112072885.0,118718919.0,121411361.0,127467010.0
